adduser|3.115
libpython2.7-stdlib|2.7.13-2+deb9u3
libpython3-dev|3.5.3-1
libpython3-stdlib|3.5.3-1
libpython3.5|3.5.3-1+deb9u1
libpython3.5-dev|3.5.3-1+deb9u1
libpython3.5-minimal|3.5.3-1+deb9u1
libpython3.5-stdlib|3.5.3-1+deb9u1
libqalculate5-data|0.9.7-9.2
libqalculate5v5|0.9.7-9.2
libqt5core5a|5.7.1+dfsg-3+deb9u1
libqt5dbus5|5.7.1+dfsg-3+deb9u1
libqt5gui5|5.7.1+dfsg-3+deb9u1
libqt5network5|5.7.1+dfsg-3+deb9u1
libqt5opengl5|5.7.1+dfsg-3+deb9u1
libqt5printsupport5|5.7.1+dfsg-3+deb9u1
libqt5widgets5|5.7.1+dfsg-3+deb9u1
libqt5x11extras5|5.7.1~20161021-2
libqtcore4|4:4.8.7+dfsg-11
libqtgui4|4:4.8.7+dfsg-11
libquadmath0|6.3.0-18+deb9u1
libraw1394-11|2.1.2-1+b1
libraw15|0.17.2-6+deb9u1
libreadline5|5.2+dfsg-3+b1
libreadline7|7.0-3
librest-0.7-0|0.8.0-2
librsvg2-2|2.40.16-1+b1
librsvg2-common|2.40.16-1+b1
librtmp1|2.4+20151223.gitfa8646d.1-1+b1
librubberband2|1.8.1-7
libruby2.3|2.3.3-1+deb9u6
libsamplerate0|0.1.8-8+b2
libsasl2-2|2.1.27~101-g0780600+dfsg-3
libsasl2-modules-db|2.1.27~101-g0780600+dfsg-3
libsbc1|1.3-2
libsdl1.2debian|1.2.15+dfsg1-4
libsdl2-2.0-0|2.0.5+dfsg1-2
libseccomp2|2.3.1-2.1+deb9u1
libsecret-1-0|0.18.5-3.1
libsecret-common|0.18.5-3.1
libselinux1|2.6-3+b3
libsemanage-common|2.6-2
libsemanage1|2.6-2
libsensors4|1:3.4.0-4
libsepol1|2.6-2
libshine3|3.1.0-5
libsigsegv2|2.10-5
libslang2|2.3.1-5
libsm6|2:1.2.2-1+b3
libsmartcols1|2.29.2-1+deb9u1
libsmi2ldbl|0.4.8+dfsg2-15
libsnappy1v5|1.1.3-3
libsndfile1|1.0.27-3
libsndio6.1|1.1.0-3
libsoup-gnome2.4-1|2.56.0-2+deb9u2
libsoup2.4-1|2.56.0-2+deb9u2
libsoxr0|0.1.2-2
libspandsp2|0.0.6+dfsg-0.1
libspeex1|1.2~rc1.2-1+b2
libspnav0|0.2.3-1
libsqlite3-0|3.27.2-2~bpo9+1
libss2|1.43.4-2
libssh-gcrypt-4|0.7.3-2+deb9u2
libssh2-1|1.7.0-1+deb9u1
