home; inst-min-con-firmware.sh; 2019-01-02_19.20.40; 1598964; 165448; 00:00:02:04
home; inst-min-con-live-build-tools.sh; 2019-01-02_19.20.40; 1603424; 4460; 00:00:00:09
home; inst-min-con-mtp-jmtpfs.sh; 2019-01-02_19.20.40; 1612228; 8804; 00:00:00:06
home; inst-min-con-net-tools.sh; 2019-01-02_19.20.40; 1613096; 868; 00:00:00:02
home; inst-min-con-ntp.sh; 2019-01-02_19.20.40; 1616236; 3140; 00:00:00:06
home; inst-min-con-numlock.sh; 2019-01-02_19.20.40; 1623076; 6840; 00:00:00:13
home; inst-min-con-pciutils.sh; 2019-01-02_19.20.40; 1624800; 1724; 00:00:00:03
home; inst-min-con-rename.sh; 2019-01-02_19.20.40; 1675448; 50648; 00:00:00:36
home; inst-min-con-snd-alsa.sh; 2019-01-02_19.20.40; 1687356; 11908; 00:00:00:10
home; inst-min-con-udevil.sh; 2019-01-02_19.20.40; 1695392; 8036; 00:00:00:04
home; inst-min-con-users-poweruser.sh; 2019-01-02_19.20.40; 1695428; 36; 00:00:00:01
home; inst-min-con-xtra-buffer-pv.sh; 2019-01-02_19.20.40; 1695584; 156; 00:00:00:02
home; inst-min-con-xtra-buffer.sh; 2019-01-02_19.20.40; 1695660; 76; 00:00:00:02
home; inst-min-con-xtra-cld-dev-tools-aptly.sh; 2019-01-02_19.20.40; 1729824; 34164; 00:00:00:23
home; inst-min-con-xtra-curl.sh; 2019-01-02_19.20.40; 1731344; 1520; 00:00:00:03
home; inst-min-con-xtra-default-jre-headless.sh; 2019-01-02_19.20.40; 1892136; 160792; 00:00:00:31
home; inst-min-con-xtra-dev-tool-tree.sh; 2019-01-02_19.20.40; 1892320; 184; 00:00:00:02
home; inst-min-con-xtra-encoding-libtext-iconv-perl.sh; 2019-01-02_19.20.40; 1892324; 4; 00:00:00:00
home; inst-min-con-xtra-fuse.sh; 2019-01-02_19.20.40; 1892328; 4; 00:00:00:01
home; inst-min-con-xtra-hd-hdparm.sh; 2019-01-02_19.20.40; 1892756; 428; 00:00:00:02
home; inst-min-con-xtra-hd-smartmontools.sh; 2019-01-02_19.20.40; 1895064; 2308; 00:00:00:04
home; inst-min-con-xtra-iso-iat.sh; 2019-01-02_19.20.40; 1895120; 56; 00:00:00:01
home; inst-min-con-xtra-locate.sh; 2019-01-02_19.20.40; 1895692; 572; 00:00:00:02
home; inst-min-con-xtra-macchanger.sh; 2019-01-02_19.20.40; 1896588; 896; 00:00:00:03
home; inst-min-con-xtra-sqlite3.sh; 2019-01-02_19.20.40; 1900844; 4256; 00:00:00:04
home; inst-min-win-00-00-xorg-fix.sh; 2019-01-02_19.20.40; 1901180; 336; 00:00:00:02
home; inst-min-win-00-xorg.sh; 2019-01-02_19.20.40; 2001664; 100484; 00:00:01:00
home; inst-min-win-01-basic-font.sh; 2019-01-02_19.20.40; 2001668; 4; 00:00:00:01
home; inst-min-win-01-wm-jwm.sh; 2019-01-02_19.20.40; 2162868; 161200; 00:00:02:51
home; inst-min-win-01-wm-terminal-xfce.sh; 2019-01-02_19.20.40; 2162876; 8; 00:00:00:01
home; inst-min-win-cld-win-split.sh; 2019-01-02_19.20.40; 2164396; 1520; 00:00:00:06
home; inst-min-win-jwm-help-manuals-text.sh; 2019-01-02_19.20.40; 2164436; 40; 00:00:00:01
home; inst-min-win-jwm-keyboard-move-mouse.sh; 2019-01-02_19.20.40; 2164452; 16; 00:00:00:00
home; inst-min-win-jwm-keys-alsa.sh; 2019-01-02_19.20.40; 2164460; 8; 00:00:00:01
home; inst-min-win-menu.sh; 2019-01-02_19.20.40; 2165720; 1260; 00:00:00:03
home; inst-min-win-systray-volumeicon-alsa.sh; 2019-01-02_19.20.40; 2166228; 508; 00:00:00:03
home; inst-min-win-xtra-default-jdk.sh; 2019-01-02_19.20.40; 2219224; 52996; 00:00:00:18
home; inst-min-win-xtra-default-jre.sh; 2019-01-02_19.20.40; 2219228; 4; 00:00:00:01
home; inst-min-win-xtra-fonts-asian.sh; 2019-01-02_19.20.40; 2287384; 68156; 00:00:00:09
home; inst-min-win-xtra-xdotool.sh; 2019-01-02_19.20.40; 2287716; 332; 00:00:00:03
home; inst-std-00-jwm-menu.sh; 2019-01-02_19.20.40; 2287720; 4; 00:00:00:00
home; inst-std-accessories-calc-qalculate-gtk.sh; 2019-01-02_19.20.40; 2298044; 10324; 00:00:00:08
home; inst-std-accessories-feh.sh; 2019-01-02_19.20.40; 2300440; 2396; 00:00:00:05
home; inst-std-accessories-gpicview.sh; 2019-01-02_19.20.40; 2300824; 384; 00:00:00:02
home; inst-std-accessories-mupdf.sh; 2019-01-02_19.20.40; 2325468; 24644; 00:00:00:05
home; inst-std-accessories-prtscr-gnome-screenshot.sh; 2019-01-02_19.20.40; 2327228; 1760; 00:00:00:06
home; inst-std-accessories-scite.sh; 2019-01-02_19.20.40; 2334852; 7624; 00:00:00:09
home; inst-std-accessories-thunar.sh; 2019-01-02_19.20.40; 2365204; 30352; 00:00:00:42
home; inst-std-font-fonts-liberation.sh; 2019-01-02_19.20.40; 2368172; 2968; 00:00:00:05
home; inst-std-graphic-gimp.sh; 2019-01-02_19.20.40; 2610280; 242108; 00:00:02:01
home; inst-std-graphic-gpaint.sh; 2019-01-02_19.20.40; 2611068; 788; 00:00:00:04
home; inst-std-graphic-xtra-cheese.sh; 2019-01-02_19.20.40; 2753780; 142712; 00:00:01:21
home; inst-std-help-manuals-html.sh; 2019-01-02_19.20.40; 2753860; 80; 00:00:00:00
home; inst-std-inet-firefox-esr.sh; 2019-01-02_19.20.40; 2955952; 202092; 00:00:00:12
home; inst-std-inet-xtra-00-google-chrome-fix.sh; 2019-01-02_19.20.40; 2956260; 308; 00:00:00:01
home; inst-std-inet-xtra-browser-plugin-downloadhelper-coapp.sh; 2019-01-02_19.20.40; 3048364; 92104; 00:00:00:06
home; inst-std-inet-xtra-google-chrome-keyring.sh; 2019-01-02_19.20.40; 3048380; 16; 00:00:00:01
home; inst-std-inet-xtra-google-chrome.sh; 2019-01-02_19.20.40; 3343008; 294628; 00:00:00:54
home; inst-std-inet-xtra-transmission-gtk.sh; 2019-01-02_19.20.40; 3346656; 3648; 00:00:00:08
home; inst-std-multimedia-00-debmultimedia-keyring.sh; 2019-01-02_19.20.40; 3346720; 64; 00:00:00:05
home; inst-std-multimedia-mpv.sh; 2019-01-02_19.20.40; 3371656; 24936; 00:00:00:19
home; inst-std-multimedia-xtra-ffmpeg.sh; 2019-01-02_19.20.40; 3375760; 4104; 00:00:00:03
home; inst-std-multimedia-xtra-sr-simplescreenrecorder.sh; 2019-01-02_19.20.40; 3409848; 34088; 00:00:00:10
home; inst-std-office-00-libreoffice-fix.sh; 2019-01-02_19.20.40; 3410336; 488; 00:00:00:01
home; inst-std-office-libreoffice-all.sh; 2019-01-02_19.20.40; 3899984; 489648; 00:00:02:34
home; inst-std-system-alsamixer.sh; 2019-01-02_19.20.40; 3899992; 8; 00:00:00:01
home; inst-std-system-conky.sh; 2019-01-02_19.20.40; 3902320; 2328; 00:00:00:05
home; inst-std-system-gnome-disk-utility.sh; 2019-01-02_19.20.40; 3907060; 4740; 00:00:00:12
home; inst-std-system-keyboard.sh; 2019-01-02_19.20.40; 3907068; 8; 00:00:00:00
home; inst-std-system-monitor-switcher-lxrandr.sh; 2019-01-02_19.20.40; 3941160; 34092; 00:00:00:11
home; inst-std-system-network-wicd.sh; 2019-01-02_19.20.40; 3952884; 11724; 00:00:00:22
home; inst-std-system-time-zone.sh; 2019-01-02_19.20.40; 3952888; 4; 00:00:00:01
