home; inst-xtra-git.sh; 2019-05-19_16.22.15; 3868148; 40512; 00:00:00:17
home; inst-min-con-rename.sh; 2019-05-19_16.22.15; 1630480; 49336; 00:00:00:28
home; inst-min-con-xtra-apache2.sh; 2019-05-19_16.22.15; 1702032; 51584; 00:00:00:31
home; inst-xtra-games-openttd.sh; 2019-05-19_16.22.15; 3827636; 53512; 00:00:00:13
home; inst-min-win-xtra-default-jdk.sh; 2019-05-19_16.22.15; 2768984; 55180; 00:00:00:24
home; inst-min-con-xtra-vim-nox.sh; 2019-05-19_16.22.15; 2500568; 67092; 00:00:00:55
home; inst-min-win-xtra-fonts-asian.sh; 2019-05-19_16.22.15; 2837148; 68156; 00:00:00:13
home; inst-std-multimedia-mpv.sh; 2019-05-19_16.22.15; 3530088; 70172; 00:00:00:56
home; inst-xtra-eclipse-libwebkitgtk-3.0-0.sh; 2019-05-19_16.22.15; 3774124; 78460; 00:00:00:24
home; inst-std-system-network-wicd.sh; 2019-05-19_16.22.15; 3687068; 78668; 00:00:00:52
home; inst-std-inet-xtra-browser-plugin-downloadhelper-coapp.sh; 2019-05-19_16.22.15; 3191828; 92224; 00:00:00:07
home; inst-min-win-00-xorg.sh; 2019-05-19_16.22.15; 2599704; 98800; 00:00:01:09
home; inst-min-win-01-wm-jwm.sh; 2019-05-19_16.22.15; 2710464; 110756; 00:00:02:52
home; inst-xtra-ta-lib.sh; 2019-05-19_16.22.15; 4018856; 133208; 00:00:02:45
home; inst-xtra-zfs-dkms.sh; 2019-05-19_16.22.15; 3766620; 136168; 00:00:13:43
home; inst-min-con-xtra-default-jre-headless.sh; 2019-05-19_16.22.15; 1896584; 160952; 00:00:00:30
home; inst-min-con-xtra-py-python3-dev.sh; 2019-05-19_16.22.15; 2424748; 161432; 00:00:00:58
home; inst-min-con-firmware.sh; 2019-05-19_16.22.15; 1555296; 181924; 00:00:01:59
home; inst-std-inet-firefox-esr.sh; 2019-05-19_16.22.15; 3099600; 205456; 00:00:00:13
home; inst-std-inet-xtra-google-chrome.sh; 2019-05-19_16.22.15; 3456176; 264332; 00:00:00:29
home; inst-min-con-xtra-mariadb-server.sh; 2019-05-19_16.22.15; 2239632; 321444; 00:00:00:49
home; inst-min-con-00-linux-image.sh; 2019-05-19_16.22.15; 1285832; 354356; 00:00:01:49
home; inst-xtra-virtualbox.sh; 2019-05-19_16.22.15; 3747912; 369604; 00:00:01:05
home; main.sh; 2019-05-19_16.22.15; 927124; 927124; 00:00:00:00
