7zip|25.01+dfsg-1~deb13u1
libwayland-egl1|1.23.1-3
libwbclient0|2:4.23.3+dfsg-1~bpo13+1
libwebp7|1.5.0-0.1
libwebpdemux2|1.5.0-0.1
libwebpmux3|1.5.0-0.1
libwmflite-0.2-7|0.2.13-1.1+b3
libwrap0|7.6.q-36
libwtmpdb0|0.73.0-3+deb13u1
libx11-6|2:1.8.12-1
libx11-data|2:1.8.12-1
libx11-xcb1|2:1.8.12-1
libxatracker2|25.0.7-2
libxau6|1:1.0.11-1
libxaw7|2:1.0.16-1
libxcb-dri2-0|1.17.0-2+b1
libxcb-dri3-0|1.17.0-2+b1
libxcb-glx0|1.17.0-2+b1
libxcb-present0|1.17.0-2+b1
libxcb-randr0|1.17.0-2+b1
libxcb-render0|1.17.0-2+b1
libxcb-shape0|1.17.0-2+b1
libxcb-shm0|1.17.0-2+b1
libxcb-sync1|1.17.0-2+b1
libxcb-util1|0.4.1-1
libxcb-xfixes0|1.17.0-2+b1
libxcb1|1.17.0-2+b1
libxcomposite1|1:0.4.6-1
libxcursor1|1:1.2.3-1
libxcvt0|0.1.3-1
libxdamage1|1:1.1.6-1+b2
libxdmcp6|1:1.1.5-1
libxdo3|1:3.20160805.1-5.1
libxext6|2:1.3.4-1+b3
libxfixes3|1:6.0.0-2+b4
libxfont2|1:2.0.6-1+b3
libxft2|2.3.6-1+b4
libxi6|2:1.8.2-1
libxinerama1|2:1.1.4-3+b4
libxkbcommon0|1.7.0-2
libxkbfile1|1:1.1.0-1+b4
libxml2|2.12.7+dfsg+really2.9.14-2.1+deb13u2
libxmu6|2:1.1.3-3+b4
libxmuu1|2:1.1.3-3+b4
libxpm4|1:3.5.17-1+b3
libxrandr2|2:1.5.4-1+b3
libxrender1|1:0.9.12-1
libxshmfence1|1.3.3-1
libxslt1.1|1.1.35-1.2+deb13u2
libxss1|1:1.2.3-1+b3
libxt6t64|1:1.2.1-1.2+b2
libxtables12|1.8.11-2
libxtst6|2:1.2.5-1
libxv1|2:1.0.11-1.1+b3
libxvmc1|2:1.0.12-2+b3
libxxf86dga1|2:1.1.5-1+b3
libxxf86vm1|1:1.1.4-1+b4
libxxhash0|0.8.3-2
libxxx-perl|0.38-1
libyaml-0-2|0.2.5-2
libyaml-pp-perl|0.39.0-1
libyuv0|0.0.1904.20250204-1
libz3-4|4.13.3-1
libzstd1|1.5.7+dfsg-1
linux-base|4.12
linux-image-6.17.8+deb13-amd64|6.17.8-1~bpo13+1
linux-image-amd64|6.17.8-1~bpo13+1
linux-libc-dev|6.12.57-1
linux-sysctl-defaults|4.12
live-boot|1:20250815~deb13u1
live-boot-initramfs-tools|1:20250815~deb13u1
localepurge|0.7.3.11
locales|2.41-12
locate|4.10.0-3
login|1:4.16.0-2+really2.41-5
login.defs|1:4.17.4-2
logrotate|3.22.0-1
logsave|1.47.2-3+b3
lsof|4.99.4+dfsg-2
mariadb-client|1:11.8.3-0+deb13u1
mariadb-client-core|1:11.8.3-0+deb13u1
mariadb-common|1:11.8.3-0+deb13u1
mariadb-server|1:11.8.3-0+deb13u1
mariadb-server-core|1:11.8.3-0+deb13u1
mawk|1.3.4.20250131-1
media-types|13.0.0
menu|2.1.51
mesa-libgallium|25.2.6-1~bpo13+1
microsoft-edge-stable|112.0.1722.48-1
mount|2.41-5
mysql-common|5.8+1.1.1
nano|8.4-1
ncurses-base|6.5+20250216-2
ncurses-bin|6.5+20250216-2
net-tools|2.10-1.3
net.downloadhelper.coapp|1.6.3
netbase|6.5
network-manager|1.52.1-1
nfs-common|1:2.8.3-1
nfs-kernel-server|1:2.8.3-1
nftables|1.1.3-1
nginx|1.26.3-3+deb13u1
nginx-common|1.26.3-3+deb13u1
nmap|7.98+dfsg-1~bpo13+1
nmap-common|7.98+dfsg-1~bpo13+1
ntfs-3g|1:2022.10.3-5
numlockx|1.2-10
openjdk-21-jre-headless|21.0.9+10-1~deb13u1
openssh-client|1:10.2p1-2~bpo13+1
openssh-server|1:10.2p1-2~bpo13+1
openssh-sftp-server|1:10.2p1-2~bpo13+1
openssl|3.5.4-1~deb13u1
openssl-provider-legacy|3.5.4-1~deb13u1
p7zip-full|16.02+transitional.1
parted|3.6-5
passwd|1:4.17.4-2
pci.ids|0.0~2025.06.09-1
pciutils|1:3.13.0-2
perl|5.40.1-6
perl-base|5.40.1-6
perl-modules-5.40|5.40.1-6
php|2:8.4+96
php-common|2:96
php-fpm|2:8.4+96
php8.4|8.4.11-1
php8.4-cli|8.4.11-1
php8.4-common|8.4.11-1
php8.4-fpm|8.4.11-1
php8.4-opcache|8.4.11-1
php8.4-readline|8.4.11-1
pinentry-curses|1.3.1-2
poppler-data|0.4.12-1
poppler-utils|25.03.0-5+deb13u2
procps|2:4.0.4-9
psmisc|23.7-2
pv|1.9.31-1
python-is-python3|3.13.3-1
python3|3.13.5-1
python3-bcrypt|4.2.0-2.1+b1
python3-cffi-backend|1.17.1-3
python3-cryptography|43.0.0-3
python3-dev|3.13.5-1
python3-dnspython|2.7.0-1
python3-httplib2|0.22.0-1
python3-jinja2|3.1.6-1
python3-markupsafe|2.1.5-1+b3
python3-minimal|3.13.5-1
python3-netaddr|1.3.0-1
python3-packaging|25.0-1
python3-pip|25.1.1+dfsg-1
python3-pyparsing|3.1.2-1
python3-resolvelib|1.1.0-1
python3-wheel|0.46.1-2
python3-yaml|6.0.2-1+b2
python3.13|3.13.5-2
python3.13-dev|3.13.5-2
python3.13-minimal|3.13.5-2
rar|2:7.11-1
readline-common|8.2-6
rename|2.02-1
rpcbind|1.2.7-1
rpcsvc-proto|1.4.3-1
rsync|3.4.1+ds1-5
runit-helper|2.16.4
samba|2:4.23.3+dfsg-1~bpo13+1
samba-common|2:4.23.3+dfsg-1~bpo13+1
samba-common-bin|2:4.23.3+dfsg-1~bpo13+1
samba-libs|2:4.23.3+dfsg-1~bpo13+1
sed|4.9-2
sensible-utils|0.0.25
shared-mime-info|2.4-5+b2
smartmontools|7.5-2~bpo13+1
smbclient|2:4.23.3+dfsg-1~bpo13+1
socat|1.8.0.3-1
sqlite3|3.46.1-7
squashfs-tools|1:4.6.1-1
sqv|1.3.0-3
sshpass|1.10-0.1
ssl-cert|1.1.3
sudo|1.9.16p2-3
systemd|257.9-1~deb13u1
systemd-sysv|257.9-1~deb13u1
sysvinit-utils|3.14-4
tar|1.35+dfsg-3.1
testdisk|7.2-0.1
tmux|3.5a-3
tree|2.2.1-1
tzdata|2025b-4+deb13u1
ucf|3.0052
udev|257.9-1~deb13u1
udevil|0.4.4-4
unrar|1:7.1.8-1
unzip|6.0-29
usr-is-merged|39+nmu2
util-linux|2.41-5
vim-common|2:9.1.1230-2
vim-tiny|2:9.1.1230-2
vsftpd|3.0.5-0.2
wget|1.25.0-2
whiptail|0.52.25-1
wmctrl|1.07+git20240228.1105759-1
wpasupplicant|2:2.10-24
x11-common|1:7.7+24+deb13u1
x11-utils|7.7+7
x11-xkb-utils|7.7+9
xauth|1:1.1.2-1.1
xclip|0.13-4
xdotool|1:3.20160805.1-5.1
xfonts-encodings|1:1.0.4-2.2
xfonts-utils|1:7.7+7
xinit|1.4.2-1
xkb-data|2.42-1
xorriso|1.5.6-1.2+b1
xrdp|0.10.1-3.1
xserver-common|2:21.1.16-1.3+deb13u1
xserver-xorg|1:7.7+24+deb13u1
xserver-xorg-core|2:21.1.16-1.3+deb13u1
xserver-xorg-input-all|1:7.7+24+deb13u1
xserver-xorg-input-libinput|1.5.0-1
xserver-xorg-video-all|1:7.7+24+deb13u1
xserver-xorg-video-amdgpu|23.0.0-1
xserver-xorg-video-ati|1:22.0.0-1
xserver-xorg-video-fbdev|1:0.5.0-2
xserver-xorg-video-intel|2:2.99.917+git20210115-1
xserver-xorg-video-mga|1:2.0.0-1+b1
xserver-xorg-video-nouveau|1:1.0.18-1
xserver-xorg-video-qxl|0.1.6-1.1
xserver-xorg-video-radeon|1:22.0.0-1
xserver-xorg-video-vesa|1:2.6.0-2
xserver-xorg-video-vmware|1:13.4.0-1
xsltproc|1.1.35-1.2+deb13u2
xz-utils|5.8.1-1
yudit-common|3.1.0-1
zip|3.0-15
zlib1g|1:1.3.dfsg+really1.3.1-1+b1
zlib1g-dev|1:1.3.dfsg+really1.3.1-1+b1
zpaq|7.15+repack-1
